KES-S015	KES-R021, KES-R022	Internal search	A search is run on the site, whether or not it returns anything	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Internal Search	internal_search	Page Name	Set the search term and the result count, then call _satellite.track('internal_search'). Send the term exactly as the customer typed it, in lower case, with leading and trailing spaces removed and nothing else changed. Send the result count as a number. Zero is a real result count and must be sent as zero, because that is what makes a null search visible.		
				eVar23	Search Term	oak dining table, sofa bed, cushion	digitalData.search.term				Search Term			
				prop5	Search Term	Same value as eVar23. Pathing between searches.	digitalData.search.term				Search Term			
				eVar24	Search Results Bucket	Set by a processing rule from the result count: None, 1 to 5, 6 to 20, Over 20	Derived from event18				Not applicable			
				event15	Searches	Counts once per search	Fires on the direct call				Not applicable			
				event16	Null Searches	Set only when the result count is zero	Rule condition on digitalData.search.resultCount				Search Result Count			
				event18 (n)	Search Results Returned	The number of results, as a number	digitalData.search.resultCount				Search Result Count			
KES-S016	KES-R023	Internal search	A search result is clicked, and its position in the list is known	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Search Result Click	search_result_click	Page Name	Set the result position, keep the search term from the search that produced the list, update the product objects for the clicked product, then call _satellite.track('search_result_click'). Position counts from 1 and is the position on screen, including any promoted results.	digitalData.product[].id, .category	
				eVar25	Search Result Position	1, 2, 3	digitalData.search.resultPosition				Search Result Position			
				eVar23	Search Term	The term that produced this list	digitalData.search.term				Search Term			
				products	Product	The clicked product	digitalData.product[]				Product String			
				event17	Search Result Clicks	Counts once per click	Fires on the direct call				Not applicable			
KES-S017	KES-R024	Account	A customer signs in	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Sign In	sign_in	Page Name	Set the sign in method and the hashed customer ID, update the login status to Signed In, then call _satellite.track('sign_in'). Fire only on a successful sign in. A failed attempt is not a sign in and has no requirement behind it.		
				eVar26	Sign In Method	Email and Password, Google, Apple, Magic Link	digitalData.user.signInMethod				Sign In Method			
				eVar7	Customer ID	SHA-256 of the account email	digitalData.user.customerId				Customer ID			
				eVar8	Login Status	Signed In	digitalData.user.loginStatus				Login Status			
				event19	Sign Ins	Counts once per successful sign in	Fires on the direct call				Not applicable			
KES-S018	KES-R025	Account	A new customer registers	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Registration	registration	Page Name	Fire when the account is created, not when the form is opened. Set the registration method and the hashed customer ID before the call.		
				eVar27	Registration Method	Email and Password, Google, Apple, At Checkout	digitalData.user.registrationMethod				Registration Method			
				eVar7	Customer ID	SHA-256 of the account email	digitalData.user.customerId				Customer ID			
				event20	Registrations	Counts once per account created	Fires on the direct call				Not applicable			
KES-S019	KES-R026	Account	A customer signs out	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Sign Out	sign_out	Page Name	Call _satellite.track('sign_out') before the session is cleared. Once the page reloads as anonymous the sign out is no longer visible to the tag manager.		
				event21	Sign Outs	Counts once per sign out	Fires on the direct call				Not applicable			
KES-S020	KES-R013	Home page	A home page banner is clicked	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Banner Click	banner_click	Page Name	Set the banner name and its position, then call _satellite.track('banner_click'). Position is the slot on the page, counted from the top, and it is set by the page rather than by the campaign. The same banner in a different slot must report a different position.		
