#TAB	grey
#TITLE	Variable Map - 75 props, 250 eVars and 1000 events are the contract maxima. Yours may be fewer. Delete the rows your report suite does not have, so that a free slot on this sheet is genuinely free.
#WIDTHS	12	26	30	34	3	12	26	34	34	3	12	26	22	34
#FREEZE	5
#COMMENTS				Solutions that populate this slot. Empty means the slot is free.				Solutions that populate this slot. Empty means the slot is free.					Solutions that populate this slot. Empty means the slot is free.
#FILLS	orange	orange	orange	orange	grey	orange	orange	orange	orange	grey	orange	orange	orange	orange
Traffic variable	Report name	Setting	Used by		Conversion variable	Report name	Setting	Used by		Event	Report name	Type	Used by
pageName	Page	Reserved	KES-S001, KES-S002, KES-S003, KES-S004, KES-S005, KES-S006, KES-S007, KES-S008, KES-S009, KES-S010, KES-S011, KES-S012, KES-S013, KES-S014, KES-S015, KES-S016, KES-S017, KES-S018, KES-S019, KES-S020, KES-S021, KES-S022, KES-S023, KES-S024		campaign	Campaign Code	Reserved. Most Recent, Visit	KES-S001		purchase	Orders, Units, Revenue	Reserved	KES-S012
channel	Site Section	Reserved	KES-S001		products	Product	Reserved	KES-S003, KES-S004, KES-S005, KES-S006, KES-S007, KES-S008, KES-S009, KES-S010, KES-S011, KES-S012, KES-S013, KES-S014, KES-S016		prodView	Product Views	Reserved	KES-S004
prop1	Page Name	Enable pathing	KES-S001, KES-S002		eVar1	Page Name	Most Recent, Visit	KES-S001, KES-S002		scAdd	Cart Additions	Reserved	KES-S005, KES-S006
prop2	Page URL	No pathing	KES-S001		eVar2	Page URL	Most Recent, Visit	KES-S001		scRemove	Cart Removals	Reserved	KES-S007
prop3	Page Type	Enable pathing	KES-S001, KES-S002		eVar3	Product Category L1	Most Recent, Visit	KES-S001		scView	Cart Views	Reserved	KES-S008
prop4	Previous Page	No pathing	KES-S001		eVar4	Product Category L2	Most Recent, Visit	KES-S001		scCheckout	Checkouts	Reserved	KES-S009
prop5	Search Term	Enable pathing	KES-S015		eVar5	Product Category L3	Most Recent, Visit	KES-S001		event1	Page View	Counter	KES-S001, KES-S002
prop6					eVar6	Experience Cloud ID	Most Recent, Visit	KES-S001		event2	Page Load Time	Numeric	KES-S001
prop7					eVar7	Customer ID	Most Recent, Visit	KES-S001, KES-S017, KES-S018		event3	Performance Instances	Counter	KES-S001
prop8					eVar8	Login Status	Most Recent, Visit	KES-S001, KES-S002, KES-S017		event4	Discount Value	Currency, merchandising	KES-S008, KES-S012
prop9					eVar9	Platform	Most Recent, Visit	KES-S001		event5	Delivery Charge	Currency	KES-S010
prop10					eVar10	New or Repeat Visitor	Most Recent, Visit	KES-S001		event6	Cart Add Value	Withdrawn in version 1.1, see the Change Log	
prop11					eVar11	Time Parting	Most Recent, Page View	KES-S001		event7	Delivery Step Completions	Counter	KES-S010
prop12					eVar12	Product Colour	Product Syntax Merchandising, expires on Purchase	KES-S003		event8	Payment Step Completions	Counter	KES-S011
prop13					eVar13	Product Material	Product Syntax Merchandising, expires on Purchase	KES-S004		event9	Payment Failures	Counter	KES-S013
prop14					eVar14	Product Stock Status	Product Syntax Merchandising, expires on Purchase	KES-S004		event10	Revenue at Risk	Currency	KES-S013
prop15					eVar15	Product Finding Method	Product Syntax Merchandising, expires on Purchase	KES-S004		event11	Discount Applications	Counter	KES-S014
prop16					eVar16	Listing Type	Most Recent, Visit	KES-S003		event12	Product Clicks	Counter	KES-S003
prop17					eVar17	Cart Addition Source	Most Recent, Visit	KES-S005, KES-S006		event13	Banner Clicks	Counter	KES-S020
prop18					eVar18	Delivery Option	Most Recent, Visit	KES-S010, KES-S012		event14	Navigation Clicks	Counter	KES-S021
prop19					eVar19	Payment Method	Most Recent, Visit	KES-S011, KES-S012, KES-S013		event15	Searches	Counter	KES-S015
prop20					eVar20	Order ID	Most Recent, Page View	KES-S012		event16	Null Searches	Counter	KES-S015
prop21					eVar21	Discount Code	Most Recent, Visit	KES-S014		event17	Search Result Clicks	Counter	KES-S016
prop22					eVar22	Payment Failure Reason	Most Recent, Visit	KES-S013		event18	Search Results Returned	Numeric	KES-S015
prop23					eVar23	Search Term	Most Recent, Visit	KES-S015, KES-S016		event19	Sign Ins	Counter	KES-S017
prop24					eVar24	Search Results Bucket	Most Recent, Visit	KES-S015		event20	Registrations	Counter	KES-S018
prop25					eVar25	Search Result Position	Most Recent, Page View	KES-S016		event21	Sign Outs	Counter	KES-S019
prop26					eVar26	Sign In Method	Most Recent, Visit	KES-S017		event22	Form Starts	Counter	KES-S023
prop27					eVar27	Registration Method	Most Recent, Visit	KES-S018		event23	Form Submissions	Counter	KES-S023
prop28					eVar28	Banner Name	Original Value, Visit	KES-S020		event24	Errors	Counter	KES-S024
prop29					eVar29	Banner Position	Original Value, Visit	KES-S020		event25	Showroom Lookups	Counter	KES-S022
prop30					eVar30	Navigation Item	Most Recent, Visit	KES-S021		event26			
prop31					eVar31	Navigation Level	Most Recent, Visit	KES-S021		event27			
prop32					eVar32	Showroom	Most Recent, Visit	KES-S010, KES-S022		event28			
prop33					eVar33	Showroom City	Most Recent, Visit	KES-S022		event29			
prop34					eVar34	Form Name	Most Recent, Visit	KES-S023		event30			
prop35					eVar35	Error Type	Most Recent, Page View	KES-S024		event31			
prop36					eVar36	Error Detail	Most Recent, Page View	KES-S024		event32			
prop37					eVar37					event33			
prop38					eVar38					event34			
prop39					eVar39					event35			
prop40					eVar40					event36			
prop41					eVar41					event37			
prop42					eVar42					event38			
prop43					eVar43					event39			
prop44					eVar44					event40			
prop45					eVar45					event41			
prop46					eVar46					event42			
prop47					eVar47					event43			
prop48					eVar48					event44			
prop49					eVar49					event45			
prop50					eVar50					event46			
prop51					eVar51					event47			
prop52					eVar52					event48			
prop53					eVar53					event49			
prop54					eVar54					event50			
prop55					eVar55					event51			
prop56					eVar56					event52			
prop57					eVar57					event53			
prop58					eVar58					event54			
prop59					eVar59					event55			
prop60					eVar60					event56			
prop61					eVar61					event57			
prop62					eVar62					event58			
prop63					eVar63					event59			
prop64					eVar64					event60			
prop65					eVar65					event61			
prop66					eVar66					event62			
prop67					eVar67					event63			
prop68					eVar68					event64			
prop69					eVar69					event65			
prop70					eVar70					event66			
prop71					eVar71					event67			
prop72					eVar72					event68			
prop73					eVar73					event69			
prop74					eVar74					event70			
prop75					eVar75					event71			
					eVar76					event72			
					eVar77					event73			
					eVar78					event74			
					eVar79					event75			
					eVar80					event76			
					eVar81					event77			
					eVar82					event78			
					eVar83					event79			
					eVar84					event80			
					eVar85					event81			
					eVar86					event82			
					eVar87					event83			
					eVar88					event84			
					eVar89					event85			
					eVar90					event86			
					eVar91					event87			
					eVar92					event88			
					eVar93					event89			
					eVar94					event90			
					eVar95					event91			
					eVar96					event92			
					eVar97					event93			
					eVar98					event94			
					eVar99					event95			
					eVar100					event96			
					eVar101					event97			
					eVar102					event98			
					eVar103					event99			
					eVar104					event100			
					eVar105					event101			
					eVar106					event102			
					eVar107					event103			
					eVar108					event104			
					eVar109					event105			
					eVar110					event106			
					eVar111					event107			
					eVar112					event108			
					eVar113					event109			
					eVar114					event110			
					eVar115					event111			
					eVar116					event112			
					eVar117					event113			
					eVar118					event114			
					eVar119					event115			
					eVar120					event116			
					eVar121					event117			
					eVar122					event118			
					eVar123					event119			
					eVar124					event120			
					eVar125					event121			
					eVar126					event122			
					eVar127					event123			
					eVar128					event124			
					eVar129					event125			
					eVar130					event126			
					eVar131					event127			
					eVar132					event128			
					eVar133					event129			
					eVar134					event130			
					eVar135					event131			
					eVar136					event132			
					eVar137					event133			
					eVar138					event134			
					eVar139					event135			
					eVar140					event136			
					eVar141					event137			
					eVar142					event138			
					eVar143					event139			
					eVar144					event140			
					eVar145					event141			
					eVar146					event142			
					eVar147					event143			
					eVar148					event144			
					eVar149					event145			
					eVar150					event146			
					eVar151					event147			
					eVar152					event148			
					eVar153					event149			
					eVar154					event150			
					eVar155					event151			
					eVar156					event152			
					eVar157					event153			
					eVar158					event154			
					eVar159					event155			
					eVar160					event156			
					eVar161					event157			
					eVar162					event158			
					eVar163					event159			
					eVar164					event160			
					eVar165					event161			
					eVar166					event162			
					eVar167					event163			
					eVar168					event164			
					eVar169					event165			
					eVar170					event166			
					eVar171					event167			
					eVar172					event168			
					eVar173					event169			
					eVar174					event170			
					eVar175					event171			
					eVar176					event172			
					eVar177					event173			
					eVar178					event174			
					eVar179					event175			
					eVar180					event176			
					eVar181					event177			
					eVar182					event178			
					eVar183					event179			
					eVar184					event180			
					eVar185					event181			
