#TAB	green
#TITLE	Commerce - from a product click to an order or a failed payment
#FREEZE	4
#WIDTHS	14	20	18	38	16	24	32	34	14	20	20	20	90	44	40
#FILLS	orange	orange	orange	orange	orange	orange	orange	green	green	green	green	green	green	green	green
#COMMENTS	Unique and permanent. Quoted in the technical document, in every test result and in every status call until the project closes. Never renumber one.	The requirement or requirements from the BRD that this solution answers. STD means every implementation needs this and nobody asked for it.	The part of the site or the mechanism. Groups solutions that share a shape.	What is being solved, in one line, written so a business reader recognises their own request.	The variable or event that will carry the value. (M) is merchandising. (n) is numeric. (M n) is a numeric merchandising event.	The report name the variable will carry. Agreed here, because this is what the business will see in Workspace.	The format and a real example value. Enough that a developer and an analyst read the same meaning.		How the value is populated: a data layer object set by the site, or code inside the tag manager.	Page load, event based or direct call.	The rule name in the tag manager. It matches this exactly, including case.	Page load = the page condition. Event based = the element. Direct call = the identifier string.	The data element that holds this value. One element per data layer object, never the raw path inside a rule.	Instructions to the site developer. This is the only column they need to read. Everything they must populate, and the order it must happen in.	The product objects this solution needs, listed separately because eleven solutions share them.	Where custom code is required. The code itself is on the Custom Code sheet.
Solution ID	Requirement ID	Solution Component	Requirement	Variable / Event	Name	Details and example values	Data layer object or tool code	Rule type	Rule name	Rule condition	Data element	Developer instructions	Product data layer	Custom code
KES-S003	KES-R001	Product listing	A product is clicked on a listing page	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Product Click	product_click	Page Name	Update the product objects for the clicked product, then call _satellite.track('product_click'). Populate the product objects first. A direct call fired before the objects are set will send an empty product.	digitalData.product[].id, .category, .colour, .material, .stockStatus	
				eVar16	Listing Type	Category Listing, Search Results, Room Set, Recently Viewed	digitalData.page.listingType				Listing Type			
				products	Product	Category and product ID only. No price on a click.	digitalData.product[]				Product String			
				eVar12 (M)	Product Colour	Charcoal, Oatmeal, Sage	digitalData.product[].colour				Product Colour			
				event12	Product Clicks	Counts once per click	Fires on the direct call				Not applicable			
KES-S004	KES-R002	Product detail	A product detail page is viewed	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Product View	product_view	Page Name	The product page is server rendered but the product objects are filled by a later script, so the page load rule can fire before they exist. Set the product objects, then call _satellite.track('product_view').	digitalData.product[].id, .category, .price, .colour, .material, .stockStatus	
				eVar15 (M)	Product Finding Method	Search, Category Listing, Room Set, Recommendation, External	digitalData.product[].findingMethod				Finding Method			
				products	Product	Full product string including price	digitalData.product[]				Product String			
				eVar13 (M)	Product Material	Linen, Velvet, Oak, Stainless Steel	digitalData.product[].material				Product Material			
				eVar14 (M)	Product Stock Status	In Stock, Out of Stock, Made to Order	digitalData.product[].stockStatus				Product Stock Status			
				prodView	Product Views	Adobe reserved event. Counts a product detail view.	Fires on the direct call				Not applicable			
KES-S005	KES-R003	Cart	A product is added to the cart from the product page	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Cart Add	cart_add	Page Name	Set the cart source to Product Page, update the product objects with the chosen colour and quantity, then call _satellite.track('cart_add'). Quantity is the quantity being added, not the quantity now in the cart.	digitalData.product[].id, .category, .price, .quantity, .colour, .material	
				eVar17	Cart Addition Source	Product Page, Quick View, Room Set, Wishlist, Reorder	digitalData.cart.source				Cart Source			
				products	Product	Includes quantity and price	digitalData.product[]				Product String			
				scAdd	Cart Additions	Adobe reserved event	Fires on the direct call				Not applicable			
KES-S006	KES-R003	Product listing	A product is added to the cart from the quick view overlay, without leaving the listing	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Cart Add	cart_add	Page Name	The same rule serves this solution. Set the cart source to Quick View, update the product objects, then call _satellite.track('cart_add'). The overlay does not change the page, so the page objects stay as they are.	digitalData.product[].id, .category, .price, .quantity, .colour, .material	
				eVar17	Cart Addition Source	Quick View	digitalData.cart.source				Cart Source			
				products	Product	Includes quantity and price	digitalData.product[]				Product String			
				scAdd	Cart Additions	Adobe reserved event	Fires on the direct call				Not applicable			
KES-S007	KES-R004	Cart	A product is removed from the cart	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Cart Remove	cart_remove	Page Name	Update the product objects to hold only the product being removed, then call _satellite.track('cart_remove'). Do not send the whole cart.	digitalData.product[].id, .category, .price, .quantity	
				products	Product	The removed product only	digitalData.product[]				Product String			
				scRemove	Cart Removals	Adobe reserved event	Fires on the direct call				Not applicable			
